Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional,
22,Wynton Bernard,31.322,Aug 12,,8/D7H9,COL,0.1,6-2,195,R,R,Sep 24 1990,San Diego CA US,Drafted by the San Diego Padres in the 35th round of the 2012 amateur draft. Player signed June 11 2012.,Niagara University (Lewiston NY) Riverside Community College (Riverside CA),Rancho Bernardo HS (San Diego CA),Wynton Allen,bernawy01,
23,Brennan Bernardino,30.197,Jul 31,,/1,SEA,-0.2,6-4,180,L,L,Jan 15 1992,Valencia CA US,Drafted by the Cincinnati Reds in the 26th round of the 2014 amateur draft. Player signed June 9 2014.,California State University Dominguez Hills (Carson CA),,Brennan Allen,bernabr01,
24,Jake Bird,26.194,Jun 16,,1,COL,0.3,6-3,200,R,R,Dec 4 1995,Newhall CA US,Drafted by the Colorado Rockies in the 5th round of the 2018 amateur draft. Player signed June 10 2018.,University of California Los Angeles (Los Angeles CA),West Ranch HS (Santa Clarita CA),Jacob Timothy,birdja01,
25,Dairon Blanco,29.024,May 20,,/8HD,KCR,0.0,6-0,170,R,R,Apr 26 1993,Florida Camaguey CU,Signed as a Free Agent with the Oakland Athletics in 2017.,,,Dairon,blancda02,
26,Ronel Blanco,28.220,Apr 8,,/1,HOU,-0.2,6-0,180,R,R,Aug 31 1993,Santiago Santiago DO,Signed as a Free Agent with the Houston Astros in 2016.,,,Ronel De Jesus,blancro01,
27,JJ Bleday,24.255,Jul 23,,87/H9,MIA,-0.5,6-3,205,L,L,Nov 10 1997,Danville PA US,Drafted by the Miami Marlins in the 1st round (4th pick) of the 2019 amateur draft. Player signed July 12 2019.,Vanderbilt University (Nashville TN),A. Crawford Mosley HS (Lynn Haven FL),Jeffrey Joseph,bledajj01,
28,Sean Bouchard,26.034,Jun 19,,7/H,COL,0.9,6-3,215,R,R,May 16 1996,San Diego CA US,Drafted by the Colorado Rockies in the 9th round of the 2017 amateur draft. Player signed June 29 2017.,University of California Los Angeles (Los Angeles CA),Cathedral Catholic HS (San Diego CA),Sean Walter Bernard,bouchse01,
29,Kyle Bradish,25.229,Apr 29,,1,BAL,0.4,6-4,220,R,R,Sep 12 1996,Peoria AZ US,Drafted by the Los Angeles Angels in the 4th round of the 2018 amateur draft. Player signed June 15 2018.,New Mexico State University (Las Cruces NM),,Kyle Edward,bradiky01,
30,Matt Brash,23.335,Apr 12,,1,SEA,0.1,6-1,173,R,R,May 12 1998,Kingston ON CA,Drafted by the San Diego Padres in the 4th round of the 2019 amateur draft. Player signed June 10 2019.,Niagara University (Lewiston NY),,Matthew Aurel,brashma01,
31,Huascar Brazoban,32.282,Jul 24,,1,MIA,0.6,6-3,155,R,R,Oct 15 1989,Villa Mella Santo Domingo DO,Signed as a Free Agent with the Colorado Rockies in 2011.,,,Huascar Leandro,brazohu01,
32,Will Brennan,24.231,Sep 21,,/798DH,CLE,0.6,6-0,195,L,L,Feb 2 1998,Colorado Springs CO US,Drafted by the Cleveland Indians in the 8th round of the 2019 amateur draft. Player signed June 14 2019.,Kansas State University (Manhattan KS),,William Daniel,brennwi02,
33,Jonah Bride,26.169,Jun 14,,45/H3D,OAK,0.1,5-10,200,R,R,Dec 27 1995,Milwaukee WI US,Drafted by the Oakland Athletics in the 23rd round of the 2018 amateur draft. Player signed June 18 2018.,Neosho County Community College (Chanute KS) University of South Carolina (Columbia SC),Owasso HS (Owasso OK),Jonah Michael,bridejo01,
34,Beau Brieske,24.018,Apr 23,,1,DET,0.7,6-3,200,R,R,Apr 5 1998,Chandler AZ US,Drafted by the Detroit Tigers in the 27th round of the 2019 amateur draft. Player signed June 14 2019.,Colorado State University-Pueblo (Pueblo CO),,Beau,briesbe01,
35,Hunter Brown,24.007,Sep 5,,/1,HOU,0.9,6-2,212,R,R,Aug 29 1998,Detroit MI US,Drafted by the Houston Astros in the 5th round of the 2019 amateur draft. Player signed June 10 2019.,Wayne State University (Detroit MI),,Hunter Noah,brownhu01,
36,Peyton Burdick,25.160,Aug 5,,78/9H,MIA,-0.1,6-0,205,R,R,Feb 26 1997,Batavia OH US,Drafted by the Miami Marlins in the 3rd round of the 2019 amateur draft. Player signed June 9 2019.,Wright State University (Dayton OH),,Edmund Peyton,burdipe01,
37,Alec Burleson,23.287,Sep 8,,/93D7H,STL,0.0,6-2,212,L,L,Nov 25 1998,Charlotte NC US,Drafted by the St. Louis Cardinals in the 2nd round of the 2020 amateur draft. Player signed June 15 2020.,East Carolina University (Greenville NC),East Lincoln HS (Denver NC),Alec Michael,burleal01,
38,José Butto,24.155,Aug 21,,/1,NYM,-0.3,6-1,202,R,R,Mar 19 1998,Cumana Sucre VE,Signed as a Free Agent with the New York Mets in 2017.,,,José Alejandro,buttojo01,
39,Oswaldo Cabrera,23.169,Aug 17,,9/76345H,NYY,1.9,5-10,200,B,R,Mar 1 1999,Guarenas Miranda VE,Signed as a Free Agent with the New York Yankees in 2015.,,,Oswaldo Alberto,cabreos01,
40,Alex Call,27.287,Jul 11,,/9H87,CLE,0.3,5-11,188,R,R,Sep 27 1994,Burnsville MN US,Drafted by the Chicago White Sox in the 3rd round of the 2016 amateur draft. Player signed June 15 2016.,Ball State University (Muncie IN),River Falls HS (River Falls WI),Alexander Marvin,callal02,
41,Yennier Cano,28.063,May 11,,1,MIN,-0.9,6-4,185,R,R,Mar 9 1994,Ciego de Avila CU,Signed as a Free Agent with the Minnesota Twins in 2019.,,,Yennier,canoye01,
42,Conner Capel,25.039,Jun 27,,/9D7H,STL,0.2,6-1,185,L,L,May 19 1997,Katy TX US,Drafted by the Cleveland Indians in the 5th round of the 2016 amateur draft. Player signed June 21 2016.,,Seven Lakes HS (Katy TX),Michael Conner,capelco01,
43,Vinny Capra,25.298,May 1,,/HD479,TOR,0.1,5-8,175,R,R,Jul 7 1996,Melbourne FL US,Drafted by the Toronto Blue Jays in the 20th round of the 2018 amateur draft. Player signed June 9 2018.,University of Richmond (Richmond VA),,Vincent James,capravi01,
44,Kerry Carpenter,24.342,Aug 10,,D7/9H,DET,0.5,6-2,220,L,R,Sep 2 1997,Eustis FL US,Drafted by the Detroit Tigers in the 19th round of the 2019 amateur draft. Player signed June 11 2019.,Virginia Polytechnic Institute and State University (Blacksburg VA),,Kerry William,carpeke01,
45,Corbin Carroll,22.008,Aug 29,,7/8HD9,ARI,1.2,5-10,165,L,L,Aug 21 2000,Seattle WA US,Drafted by the Arizona Diamondbacks in the 1st round (16th pick) of the 2019 amateur draft. Player signed June 18 2019.,,Lakeside School (Seattle WA),Corbin Franklin,carroco02,
46,Triston Casas,22.232,Sep 4,,3/H,BOS,0.1,6-4,252,L,R,Jan 15 2000,Miami FL US,Drafted by the Boston Red Sox in the 1st round (26th pick) of the 2018 amateur draft. Player signed June 14 2018.,,American Heritage HS (Plantation FL),Triston Ray,casastr01,
47,Diego Castillo,24.161,Apr 7,,649H/35D1,PIT,-0.9,5-11,185,R,R,Oct 28 1997,Barquisimeto Lara VE,Signed as a Free Agent with the New York Yankees in 2014.,,,Diego Alejandro,castidi02,
48,Luis Castillo,27.149,Aug 6,,/1,DET,0.1,6-3,212,R,R,Mar 10 1995,Fantino Sanchez Ramirez DO,Signed as a Free Agent with the Arizona Diamondbacks in 2012.,,,Luis Felipe,castilu03,
49,Max Castillo,23.046,Jun 19,,/1,TOR,-0.5,6-2,280,R,R,May 4 1999,Caracas Distrito Federal VE,Signed as a Free Agent with the Toronto Blue Jays in 2015.,,,Maximo Alberto,castima03,
50,Cade Cavalli,24.012,Aug 26,,/1,WSN,-0.3,6-4,240,R,R,Aug 14 1998,Tulsa OK US,Drafted by the Washington Nationals in the 1st round (22nd pick) of the 2020 amateur draft. Player signed June 19 2020.,University of Oklahoma (Norman OK),Bixby HS (Bixby OK),Steven Cade,cavalca01,
51,Kody Clemens,26.016,May 31,,5H3/47D1,DET,-0.2,6-1,200,L,R,May 15 1996,Hornell TX US,Drafted by the Detroit Tigers in the 3rd round of the 2018 amateur draft. Player signed June 25 2018.,University of Texas at Austin (Austin TX),Memorial HS (Houston TX),Kody Alec,clemeko01,
52,Mark Contreras,27.107,May 11,,8/9H7,MIN,0.0,6-0,195,L,R,Jan 24 1995,Moreno Valley CA US,Drafted by the Minnesota Twins in the 9th round of the 2017 amateur draft. Player signed June 16 2017.,University of California Riverside (Riverside CA),,Mark Anthony,contrma01,
53,Narciso Crook,26.353,Jun 30,,/H98,CHC,-0.2,6-3,220,R,R,Jul 12 1995,Nagua Maria Trinidad Sanchez DO,Drafted by the Cincinnati Reds in the 23rd round of the 2013 amateur draft. Player signed July 5 2013.,Rowan College of South Jersey-Gloucester (Sewell NJ),Trenton HS (Trenton NJ),Narciso,crookna01,
54,Fernando Cruz,32.158,Sep 2,,1,CIN,0.8,6-2,205,B,R,Mar 28 1990,Bayamon PR,Drafted by the Kansas City Royals in the 6th round of the 2007 amateur draft.,,Puerto Rico Advance College HS (Bayamon Puerto Rico),Fernando E.,cruzfe01,
55,Jose Cuas,27.337,May 31,,1,KCR,0.4,6-3,195,R,R,Jun 28 1994,Santo Domingo Distrito Nacional DO,Drafted by the Milwaukee Brewers in the 11th round of the 2015 amateur draft. Player signed June 12 2015.,University of Maryland (College Park MD),Grand Street Campus HS (Brooklyn NY),Jose Luis,cuasjo01,
56,Xzavion Curry,24.019,Aug 15,,/1,CLE,-0.2,5-11,190,R,R,Jul 27 1998,Orangeburg SC US,Drafted by the Cleveland Indians in the 7th round of the 2019 amateur draft. Player signed June 14 2019.,Georgia Institute of Technology (Atlanta GA),,Xzavion Rashan,curryxz01,
57,Tyler Cyr,29.108,Aug 21,,/1,PHI,0.3,6-1,205,R,R,May 5 1993,Fremont CA US,Drafted by the San Francisco Giants in the 10th round of the 2015 amateur draft. Player signed June 15 2015.,Embry-Riddle Aeronautical University (Daytona Beach FL),,Tyler O'Neil,cyrty01,
58,Brendon Davis,25.065,Oct 1,,/95,DET,-0.1,6-4,185,R,R,Jul 28 1997,Lakewood CA US,Drafted by the Los Angeles Dodgers in the 5th round of the 2015 amateur draft. Player signed June 19 2015.,,Lakewood HS (Lakewood CA),Brendon,davisbr04,
59,Noah Davis,25.166,Oct 5,,/1,COL,-0.1,6-2,195,R,R,Apr 22 1997,Newport Beach CA US,Drafted by the Cincinnati Reds in the 11th round of the 2018 amateur draft. Player signed July 2 2018.,University of California Santa Barbara (Santa Barbara CA),Huntington Beach HS (Huntington Beach CA),Noah D.,davisno01,
60,Angel De Jesus,25.069,Apr 23,,/1,DET,0.2,6-4,200,R,R,Feb 13 1997,Samana Samana DO,Signed as a Free Agent with the Detroit Tigers in 2016.,,,Angel,dejesan01,
61,Yerry De Los Santos,24.164,May 25,,1,PIT,-0.5,6-2,215,R,R,Dec 12 1997,Samana Samana DO,Signed as a Free Agent with the Pittsburgh Pirates in 2014.,,,Yerry Paulino,delosye01,
62,Jason Delay,27.099,Jun 14,,2,PIT,-0.4,5-11,200,R,R,Mar 7 1995,Plano TX US,Drafted by the Pittsburgh Pirates in the 4th round of the 2017 amateur draft. Player signed June 19 2017.,Vanderbilt University (Nashville TN),Northview HS (Duluth GA),Jason Thomas,delayja01,
63,Ben DeLuzio,28.024,Sep 2,,8/HD,STL,0.2,6-3,200,R,R,Aug 9 1994,St. Louis MO US,Signed as a Free Agent with the Arizona Diamondbacks in 2016.,Florida State University (Tallahassee FL),The First Academy (Orlando FL),Benjamin Amadeo,deluzbe01,
64,Alexis Diaz,25.192,Apr 8,,1,CIN,3.1,6-2,224,R,R,Sep 28 1996,Humacao PR,Drafted by the Cincinnati Reds in the 12th round of the 2015 amateur draft. Player signed June 23 2015.,,Juan Jose Maunez HS (Puerto Rico),Alexis Omar,diazal03,
65,Jordan Diaz,22.036,Sep 18,,4/D3,OAK,0.1,5-10,175,R,R,Aug 13 2000,Monteria Cordoba CO,Signed as a Free Agent with the Oakland Athletics in 2016.,,,Jordan David,diazjo03,
66,Yainer Diaz,23.346,Sep 2,,/D2H,HOU,-0.1,6-0,195,R,R,Sep 21 1998,Azua Azua DO,Signed as a Free Agent with the Cleveland Indians in 2016.,,,Yainer Radhames,diazya02,
67,Yusniel Diaz,25.299,Aug 2,,/H9,BAL,0.0,6-1,215,R,R,Oct 7 1996,La Habana La Habana CU,Signed as a Free Agent with the Los Angeles Dodgers in 2015.,,,Yusniel Efrain,diazyu01,
68,Brendan Donovan,25.099,Apr 25,,45973DH/6,STL,4.1,6-1,195,L,R,Jan 16 1997,Wurzburg Bavaria DE,Drafted by the St. Louis Cardinals in the 7th round of the 2018 amateur draft. Player signed June 11 2018.,University of South Alabama (Mobile AL),,Brendan Michael,donovbr01,
69,Jeter Downs,23.330,Jun 22,,/45H6D,BOS,-0.6,5-11,195,R,R,Jul 27 1998,San Andres San Andres y Providencia CO,Drafted by the Cincinnati Reds in the 1st round (32nd pick) of the 2017 amateur draft. Player signed June 19 2017.,,Monsignor Edward Pace HS (Miami Gardens FL),Jeter Deion,downsje01,
70,Daniel Duarte,25.125,Apr 8,,/1,CIN,-0.1,6-0,170,R,R,Dec 4 1996,Huatabampo Sonora MX,Signed as a Free Agent with the Texas Rangers in 2013.,,,Daniel Francisco,duartda01,
71,Joe Dunand,26.229,May 7,,/45,MIA,0.2,6-2,205,R,R,Sep 20 1995,Miami FL US,Drafted by the Miami Marlins in the 2nd round of the 2017 amateur draft. Player signed June 22 2017.,North Carolina State University (Raleigh NC),Gulliver Prep (Miami FL),Joseph Alexander,dunanjo01,
72,Ezequiel Duran,23.013,Jun 4,,5/4HD,TEX,0.2,5-11,185,R,R,May 22 1999,San Juan de la Maguana San Juan DO,Signed as a Free Agent with the New York Yankees in 2017.,,,Ezequiel Alberto,duranez01,
73,Jhoan Duran,24.090,Apr 8,,1,MIN,2.8,6-5,230,R,R,Jan 8 1998,Esperanza Valverde DO,Signed as a Free Agent with the Arizona Diamondbacks in 2014.,,,Jhoan Manuel,duranjh01,
74,Nick Duron,26.164,Jul 13,,/1,PHI,0.0,6-4,190,R,R,Jan 30 1996,Salinas CA US,Drafted by the Boston Red Sox in the 31st round of the 2015 amateur draft. Player signed June 21 2015.,Clark College (Vancouver WA),Tigard HS (Tigard OR),Nicholas Gregory,duronni01,
75,Nate Eaton,25.204,Jul 14,,95H/78,KCR,0.9,5-11,185,R,R,Dec 22 1996,Chester VA US,Drafted by the Kansas City Royals in the 21st round of the 2018 amateur draft. Player signed June 10 2018.,Virginia Military Institute (Lexington VA),,Nathan Wyatt,eatonna01,
76,Bryce Elder,22.328,Apr 12,,1,ATL,1.0,6-2,220,R,R,May 19 1999,Decatur TX US,Drafted by the Atlanta Braves in the 5th round of the 2020 amateur draft. Player signed June 19 2020.,University of Texas at Austin (Austin TX),,Bryce Cason,elderbr01,
77,Jerar Encarnacion,24.240,Jun 19,,79/DH,MIA,-0.1,6-4,250,R,R,Oct 22 1997,Bayaguana Monte Plata DO,Signed as a Free Agent with the Miami Marlins in 2015.,,,Jerar Luis,encarje01,
78,Anderson Espinoza,24.082,May 30,,/1,CHC,0.0,6-0,208,R,R,Mar 9 1998,Caracas Distrito Federal VE,Signed as a Free Agent with the Boston Red Sox in 2014.,,,Anderson Jose,espinan01,
79,Jeremiah Estrada,23.302,Aug 30,,/1,CHC,0.1,6-1,185,B,R,Nov 1 1998,Rancho Mirage CA US,Drafted by the Chicago Cubs in the 6th round of the 2017 amateur draft. Player signed July 7 2017.,,Palm Desert HS (Palm Desert CA),Jeremiah Ramiro,estraje01,
80,Alex Faedo,26.173,May 4,,1,DET,-0.5,6-5,225,R,R,Nov 12 1995,Tampa FL US,Drafted by the Detroit Tigers in the 1st round (18th pick) of the 2017 amateur draft. Player signed July 4 2017.,University of Florida (Gainesville FL),Braulio Alonso HS (Tampa FL),Alexander Michael,faedoal01,
81,Calvin Faucher,26.229,May 9,,1,TBR,-0.4,6-1,190,R,R,Sep 22 1995,Chula Vista CA US,Drafted by the Minnesota Twins in the 10th round of the 2017 amateur draft. Player signed June 17 2017.,University of California Irvine (Irvine CA),,Calvin Louis,fauchca01,
82,Freddy Fermin,27.060,Jul 15,,/2,KCR,-0.2,5-10,200,R,R,May 16 1995,Puerto Ordaz Bolivar VE,Signed as a Free Agent with the Kansas City Royals in 2015.,,,Freddy Antonio,fermifr01,
83,Nate Fisher,26.085,Aug 21,,/1,NYM,0.1,6-1,205,L,L,May 28 1996,Omaha NE US,Signed as a Free Agent with the Seattle Mariners in 2019.,University of Nebraska-Lincoln (Lincoln NE),Yutan HS (Yutan NE),Nathan Charles,fishena01,
84,Jake Fishman,27.173,Jul 31,,/1,MIA,0.1,6-3,195,L,L,Feb 8 1995,Sharon MA US,Drafted by the Toronto Blue Jays in the 30th round of the 2016 amateur draft. Player signed June 14 2016.,Union College (Schenectady NY),Sharon HS (Sharon MA),Jake Layton,fishmja01,
85,Lucius Fox,24.282,Apr 10,,/65H,WSN,-0.7,6-1,192,B,R,Jul 2 1997,Nassau New Providence BS,Signed as a Free Agent with the San Francisco Giants in 2015.,,American Heritage HS (Delray Beach FL),Lucius Kadeem,foxlu01,
86,Bowden Francis,26.005,Apr 27,,/1,TOR,0.0,6-5,225,R,R,Apr 22 1996,Tallahassee FL US,Drafted by the Milwaukee Brewers in the 7th round of the 2017 amateur draft. Player signed June 21 2017.,Chipola College (Marianna FL),,Robert Bowden,francbo01,
87,Tyler Freeman,23.074,Aug 3,,5/64HD,CLE,-0.3,6-0,190,R,R,May 21 1999,Rancho Cucamonga CA US,Drafted by the Cleveland Indians in the 2nd round of the 2017 amateur draft. Player signed June 28 2017.,,Etiwanda HS (Rancho Cucamonga CA),Tyler Andrew,freemty01,
88,Hunter Gaddis,24.118,Aug 5,,/1,CLE,-0.7,6-5,260,R,R,Apr 9 1998,Canton GA US,Drafted by the Cleveland Indians in the 5th round of the 2019 amateur draft. Player signed June 14 2019.,Georgia State University (Atlanta GA),,Hunter Reid,gaddihu01,
89,Matt Gage,29.115,Jun 6,,1,TOR,0.4,6-3,265,L,L,Feb 11 1993,Johnstown NY US,Drafted by the San Francisco Giants in the 10th round of the 2014 amateur draft. Player signed July 12 2014.,Siena College (Loudonville NY),Broadalbin-Perth HS (Broadalbin NY),Matthew Robert,gagema01,
90,Dermis Garcia,24.186,Jul 12,,3/HD7,OAK,0.4,6-3,200,R,R,Jan 7 1998,Santo Domingo Distrito Nacional DO,Signed as a Free Agent with the New York Yankees in 2014.,,,Dermis,garcide02,
91,Maikel Garcia,22.134,Jul 15,,/6H,KCR,-0.1,6-0,145,R,R,Mar 3 2000,La Sabana Vargas VE,Signed as a Free Agent with the Kansas City Royals in 2016.,,,Maikel Jose,garcima01,
92,Stone Garrett,26.268,Aug 17,,7/DH,ARI,0.5,6-2,195,R,R,Nov 22 1995,Sugar Land TX US,Drafted by the Miami Marlins in the 8th round of the 2014 amateur draft. Player signed June 7 2014.,,George Ranch HS (Richmond TX),Gregory Stone,garrest01,
93,Franklin German,24.360,Sep 17,,/1,BOS,-0.3,6-2,195,R,R,Sep 22 1997,Queens NY US,Drafted by the New York Yankees in the 4th round of the 2018 amateur draft. Player signed June 6 2016.,University of North Florida (Jacksonville FL),,Franklin Adolfo,germafr02,
94,Logan Gillaspie,25.030,May 17,,1,BAL,0.1,6-2,220,R,R,Apr 17 1997,Bakersfield CA US,Signed as a Free Agent with the Milwaukee Brewers in 2018.,Oxnard College (Oxnard CA),,Logan Craig,gillalo01,
95,Oscar Gonzalez,24.136,May 26,,9/DH,CLE,2.1,6-4,240,R,R,Jan 10 1998,Sabana Grande de Palenque San Cristobal DO,Signed as a Free Agent with the Cleveland Indians in 2014.,,,Oscar Luis,gonzaos01,
96,MacKenzie Gore,23.050,Apr 15,,1,SDP,0.2,6-2,197,L,L,Feb 24 1999,Wilmington NC US,Drafted by the San Diego Padres in the 1st round (3rd pick) of the 2017 amateur draft. Player signed June 24 2017.,,Whiteville HS (Whiteville NC),MacKenzie Evan,gorema01,
97,Nolan Gorman,22.010,May 20,,4DH/7,STL,0.7,6-1,210,L,R,May 10 2000,Phoenix AZ US,Drafted by the St. Louis Cardinals in the 1st round (19th pick) of the 2018 amateur draft. Player signed June 11 2018.,,Sandra Day O'Connor HS (Phoenix AZ),Nolan Brian,gormano01,
98,Hunter Greene,22.247,Apr 10,,1,CIN,2.3,6-5,230,R,R,Aug 6 1999,Los Angeles CA US,Drafted by the Cincinnati Reds in the 1st round (2nd pick) of the 2017 amateur draft. Player signed July 7 2017.,,Notre Dame HS (Sherman Oaks CA),Christian Hunter,greenhu01,
99,Riley Greene,21.263,Jun 18,,8,DET,1.4,6-3,200,L,L,Sep 28 2000,Orlando FL US,Drafted by the Detroit Tigers in the 1st round (5th pick) of the 2019 amateur draft. Player signed June 5 2019.,,Paul J. Hagerty HS (Oviedo FL),Riley,greenri03,
100,Vaughn Grissom,21.217,Aug 10,,4/6,ATL,0.8,6-3,210,R,R,Jan 5 2001,Orlando FL US,Drafted by the Atlanta Braves in the 11th round of the 2019 amateur draft. Player signed June 14 2019.,,Paul J. Hagerty HS (Oviedo FL),Vaughn Anthony,grissva01,
101,Jordan Groshans,22.307,Sep 13,,5,MIA,-0.1,6-3,205,R,R,Nov 10 1999,Magnolia TX US,Drafted by the Toronto Blue Jays in the 1st round (12th pick) of the 2018 amateur draft. Player signed June 12 2018.,,Magnolia HS (Magnolia TX),Jordan Lee,groshjo01,
102,Michael Grove,25.148,May 15,,/1,LAD,-0.5,6-3,200,R,R,Dec 18 1996,Wheeling WV US,Drafted by the Los Angeles Dodgers in the 2nd round of the 2018 amateur draft. Player signed July 5 2018.,West Virginia University (Morgantown WV),Wheeling Park HS (Wheeling WV),Michael,grovemi01,
